"","firm","culture","tenure","employments","sim_no","var_win","cond"
"395",14,0.700210825766988,2.13023228321658,1,1,0.1,1
"396",14,0.707112437578067,8.93946729511517,1,1,0.1,1
"397",14,0.730471002319051,14.6553233291527,1,1,0.1,1
"398",14,0.594680732516281,10.7983242715199,2,1,0.1,1
"399",14,0.767377651665833,11.451547802338,1,1,0.1,1
"400",14,0.858114887742799,18.0393632537823,2,1,0.1,1
"401",14,0.616465730318624,10.6638226512561,2,1,0.1,1
"402",14,0.551775231334521,44.0710613942841,1,1,0.1,1
"403",14,0.614860194004986,40.4186364313526,2,1,0.1,1
"404",14,0.80021953747421,13.8174751886841,2,1,0.1,1
"405",14,0.528765542524175,5.96610426415467,2,1,0.1,1
"406",14,0.778710002409604,17.2068508637926,2,1,0.1,1
"407",14,0.643055299164119,20.297848819138,1,1,0.1,1
"408",14,0.728898008578509,38.9832190798688,2,1,0.1,1
"409",14,0.728739087514511,29.6611438629218,2,1,0.1,1
"410",14,0.64662514555993,18.238930177399,1,1,0.1,1
"411",14,0.784542347450397,3.82474807540666,1,1,0.1,1
"412",14,0.588182793389046,12.3686964626093,1,1,0.1,1
"413",14,0.703555313843029,8.79735153398039,1,1,0.1,1
"414",14,0.52190589193783,7.21968398029367,2,1,0.1,1
"415",14,0.63925589489685,5.08615364661571,1,1,0.1,1
"416",14,0.706952350656981,7.397708710271,3,1,0.1,1
"417",14,0.615428370104023,5.05238743495384,1,1,0.1,1
"418",14,0.687725467335297,24.164972248826,2,1,0.1,1
"419",14,0.702226725837628,7.48995374059424,2,1,0.1,1
"420",14,0.831843459330874,12.0381335661338,1,1,0.1,1
"421",15,-2.39430888128557,18.1575774255667,1,1,0.1,1
"422",15,-2.19374661095288,19.0007555704183,1,1,0.1,1
"423",15,-2.43389730032949,7.88093703435572,2,1,0.1,1
"424",15,-2.40229502678141,31.1735599963526,4,1,0.1,1
"425",15,-2.53469050385458,25.701331510317,2,1,0.1,1
"426",15,-2.39931002800222,14.5164566631713,2,1,0.1,1
"427",15,-2.16378339079742,47.1138795154606,1,1,0.1,1
"428",15,-2.35804350832634,3.84485606958716,2,1,0.1,1
"429",15,-2.31918206706764,5.87605634030032,1,1,0.1,1
"430",15,-2.4020922752947,24.0619264277666,1,1,0.1,1
"431",15,-2.30557635337383,5.66690205076499,2,1,0.1,1
"432",15,-2.50071105325767,27.7984007839694,2,1,0.1,1
"433",15,-2.34910438013597,13.2936115971191,1,1,0.1,1
"434",15,-2.43347947035729,17.7926239729997,2,1,0.1,1
"435",15,-2.45742767795637,39.4348134836522,2,1,0.1,1
"436",15,-2.20137201365316,6.24511318432541,2,1,0.1,1
"437",15,-2.2792420700995,1.25303845721194,3,1,0.1,1
"438",15,-2.44031486852622,2.38740781954785,2,1,0.1,1
"439",15,-2.54233203487344,1.54933359009341,1,1,0.1,1
